"filename", "language", "JSON", "UnityShader", "C#", "comment", "blank", "total"
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\Assets\Scripts\Systems\RegistryDisposalSystem.cs", "C#", 0, 0, 9, 24, 4, 37
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\Assets\Scripts\Systems\ResetEventSystem.cs", "C#", 0, 0, 85, 53, 15, 153
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\Assets\Scripts\Systems\SelfDestroySystem.cs", "C#", 0, 0, 24, 6, 4, 34
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\Assets\Scripts\Systems\Targeting\LoseTargetSystem.cs", "C#", 0, 0, 46, 10, 2, 58
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\Assets\Scripts\Systems\Targeting\ResetTargetSystem.cs", "C#", 0, 0, 66, 26, 9, 101
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\Assets\Scripts\Systems\Targeting\TargetBuildingSeekerSystem.cs", "C#", 0, 0, 66, 14, 6, 86
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\Assets\Scripts\Systems\Targeting\TargetFinderSystem.cs", "C#", 0, 0, 90, 21, 6, 117
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\Assets\Scripts\Systems\TestStructsSystem.cs", "C#", 0, 0, 22, 6, 2, 30
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\Assets\Scripts\Systems\TestingSystem.cs", "C#", 0, 0, 31, 26, 6, 63
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\Assets\Scripts\Systems\UI\HealthBarSystem.cs", "C#", 0, 0, 60, 61, 15, 136
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\Assets\Scripts\Systems\Units\ManualMoveSystem.cs", "C#", 0, 0, 32, 9, 3, 44
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\Assets\Scripts\Systems\Units\RandomWalkSystem.cs", "C#", 0, 0, 48, 13, 6, 67
